series,contestant,episode,var,value
1,"Frank Skinner",1,"score",19
1,"Frank Skinner",1,"win",1
1,"Frank Skinner",2,"score",9
1,"Frank Skinner",2,"win",0
1,"Frank Skinner",3,"score",15
1,"Frank Skinner",3,"win",0
1,"Frank Skinner",4,"score",14
1,"Frank Skinner",4,"win",0
1,"Frank Skinner",5,"score",20
1,"Frank Skinner",5,"win",1
1,"Frank Skinner",6,"score",16
1,"Frank Skinner",6,"win",0
1,"Frank Skinner",7,"score",
1,"Frank Skinner",7,"win",
1,"Frank Skinner",8,"score",
1,"Frank Skinner",8,"win",
1,"Frank Skinner",9,"score",
1,"Frank Skinner",9,"win",
1,"Frank Skinner",10,"score",
1,"Frank Skinner",10,"win",
1,"Josh Widdicombe",1,"score",13
1,"Josh Widdicombe",1,"win",0
1,"Josh Widdicombe",2,"score",16
1,"Josh Widdicombe",2,"win",0
1,"Josh Widdicombe",3,"score",22
1,"Josh Widdicombe",3,"win",1
1,"Josh Widdicombe",4,"score",16
1,"Josh Widdicombe",4,"win",1
1,"Josh Widdicombe",5,"score",18
1,"Josh Widdicombe",5,"win",0
1,"Josh Widdicombe",6,"score",9
1,"Josh Widdicombe",6,"win",0
1,"Josh Widdicombe",7,"score",
1,"Josh Widdicombe",7,"win",
1,"Josh Widdicombe",8,"score",
1,"Josh Widdicombe",8,"win",
1,"Josh Widdicombe",9,"score",
1,"Josh Widdicombe",9,"win",
1,"Josh Widdicombe",10,"score",
1,"Josh Widdicombe",10,"win",
1,"Roisin Conaty",1,"score",7
1,"Roisin Conaty",1,"win",0
1,"Roisin Conaty",2,"score",21
1,"Roisin Conaty",2,"win",1
1,"Roisin Conaty",3,"score",9
1,"Roisin Conaty",3,"win",0
1,"Roisin Conaty",4,"score",9
1,"Roisin Conaty",4,"win",0
1,"Roisin Conaty",5,"score",14
1,"Roisin Conaty",5,"win",0
1,"Roisin Conaty",6,"score",8
1,"Roisin Conaty",6,"win",0
1,"Roisin Conaty",7,"score",
1,"Roisin Conaty",7,"win",
1,"Roisin Conaty",8,"score",
1,"Roisin Conaty",8,"win",
1,"Roisin Conaty",9,"score",
1,"Roisin Conaty",9,"win",
1,"Roisin Conaty",10,"score",
1,"Roisin Conaty",10,"win",
1,"Romesh Ranganathan",1,"score",19
1,"Romesh Ranganathan",1,"win",1
1,"Romesh Ranganathan",2,"score",14
1,"Romesh Ranganathan",2,"win",0
1,"Romesh Ranganathan",3,"score",22
1,"Romesh Ranganathan",3,"win",1
1,"Romesh Ranganathan",4,"score",10
1,"Romesh Ranganathan",4,"win",0
1,"Romesh Ranganathan",5,"score",16
1,"Romesh Ranganathan",5,"win",0
1,"Romesh Ranganathan",6,"score",12
1,"Romesh Ranganathan",6,"win",0
1,"Romesh Ranganathan",7,"score",
1,"Romesh Ranganathan",7,"win",
1,"Romesh Ranganathan",8,"score",
1,"Romesh Ranganathan",8,"win",
1,"Romesh Ranganathan",9,"score",
1,"Romesh Ranganathan",9,"win",
1,"Romesh Ranganathan",10,"score",
1,"Romesh Ranganathan",10,"win",
1,"Tim Key",1,"score",17
1,"Tim Key",1,"win",0
1,"Tim Key",2,"score",18
1,"Tim Key",2,"win",0
1,"Tim Key",3,"score",16
1,"Tim Key",3,"win",0
1,"Tim Key",4,"score",9
1,"Tim Key",4,"win",0
1,"Tim Key",5,"score",10
1,"Tim Key",5,"win",0
1,"Tim Key",6,"score",18
1,"Tim Key",6,"win",1
1,"Tim Key",7,"score",
1,"Tim Key",7,"win",
1,"Tim Key",8,"score",
1,"Tim Key",8,"win",
1,"Tim Key",9,"score",
1,"Tim Key",9,"win",
1,"Tim Key",10,"score",
1,"Tim Key",10,"win",
2,"Doc Brown",1,"score",9
2,"Doc Brown",1,"win",0
2,"Doc Brown",2,"score",18
2,"Doc Brown",2,"win",0
2,"Doc Brown",3,"score",21
2,"Doc Brown",3,"win",0
2,"Doc Brown",4,"score",18
2,"Doc Brown",4,"win",1
2,"Doc Brown",5,"score",12
2,"Doc Brown",5,"win",0
2,"Doc Brown",6,"score",
2,"Doc Brown",6,"win",
2,"Doc Brown",7,"score",
2,"Doc Brown",7,"win",
2,"Doc Brown",8,"score",
2,"Doc Brown",8,"win",
2,"Doc Brown",9,"score",
2,"Doc Brown",9,"win",
2,"Doc Brown",10,"score",
2,"Doc Brown",10,"win",
2,"Joe Wilkinson",1,"score",8
2,"Joe Wilkinson",1,"win",0
2,"Joe Wilkinson",2,"score",13
2,"Joe Wilkinson",2,"win",0
2,"Joe Wilkinson",3,"score",25
2,"Joe Wilkinson",3,"win",0
2,"Joe Wilkinson",4,"score",12
2,"Joe Wilkinson",4,"win",0
2,"Joe Wilkinson",5,"score",11
2,"Joe Wilkinson",5,"win",0
2,"Joe Wilkinson",6,"score",
2,"Joe Wilkinson",6,"win",
2,"Joe Wilkinson",7,"score",
2,"Joe Wilkinson",7,"win",
2,"Joe Wilkinson",8,"score",
2,"Joe Wilkinson",8,"win",
2,"Joe Wilkinson",9,"score",
2,"Joe Wilkinson",9,"win",
2,"Joe Wilkinson",10,"score",
2,"Joe Wilkinson",10,"win",
2,"Jon Richardson",1,"score",18
2,"Jon Richardson",1,"win",0
2,"Jon Richardson",2,"score",25
2,"Jon Richardson",2,"win",1
2,"Jon Richardson",3,"score",17
2,"Jon Richardson",3,"win",0
2,"Jon Richardson",4,"score",17
2,"Jon Richardson",4,"win",0
2,"Jon Richardson",5,"score",13
