state_po,county_fips,county_name,party,totalvotes,share
AK,2001,DISTRICT 1,D,7314,47.53896636587367
AK,2001,DISTRICT 1,R,7314,48.00382827454197
AK,2002,DISTRICT 2,D,6136,34.289439374185136
AK,2002,DISTRICT 2,R,6136,59.876140808344196
AK,2003,DISTRICT 3,D,8385,22.695289206917113
AK,2003,DISTRICT 3,R,8385,72.46273106738224
AK,2004,DISTRICT 4,D,10511,50.85148891637332
AK,2004,DISTRICT 4,R,10511,44.61992198649035
AK,2005,DISTRICT 5,D,8654,48.57869193436561
AK,2005,DISTRICT 5,R,8654,47.11116246822279
AK,2006,DISTRICT 6,D,9460,34.5877378435518
AK,2006,DISTRICT 6,R,9460,60.99365750528541
AK,2007,DISTRICT 7,D,9622,23.020162128455624
AK,2007,DISTRICT 7,R,9622,73.03055497817502
AK,2008,DISTRICT 8,D,9912,19.703389830508474
AK,2008,DISTRICT 8,R,9912,76.85633575464084
AK,2009,DISTRICT 9,D,10993,25.188756481397252
AK,2009,DISTRICT 9,R,10993,70.8359865368871
AK,2010,DISTRICT 10,D,11205,24.337349397590362
AK,2010,DISTRICT 10,R,11205,72.11958946898706
AK,2011,DISTRICT 11,D,10628,29.450508091832894
AK,2011,DISTRICT 11,R,10628,66.76703048550998
AK,2012,DISTRICT 12,D,11238,26.312511122975618
AK,2012,DISTRICT 12,R,11238,70.2349172450614
AK,2013,DISTRICT 13,D,7713,34.56502009594192
AK,2013,DISTRICT 13,R,7713,60.313755996369764
AK,2014,DISTRICT 14,D,11443,37.23673861749541
AK,2014,DISTRICT 14,R,11443,58.6734248011885
AK,2015,DISTRICT 15,D,5559,47.16675661090124
AK,2015,DISTRICT 15,R,5559,48.04821010973197
AK,2016,DISTRICT 16,D,8118,52.64843557526484
AK,2016,DISTRICT 16,R,8118,43.31116038433112
AK,2017,DISTRICT 17,D,7239,57.1349633927338
AK,2017,DISTRICT 17,R,7239,38.81751623152369
AK,2018,DISTRICT 18,D,7720,60.634715025906736
AK,2018,DISTRICT 18,R,7720,35.751295336787564
AK,2019,DISTRICT 19,D,5301,58.81909073759668
AK,2019,DISTRICT 19,R,5301,37.25712129786832
AK,2020,DISTRICT 20,D,7497,65.10604241696679
AK,2020,DISTRICT 20,R,7497,31.786047752434307
AK,2021,DISTRICT 21,D,9429,57.418602184749176
AK,2021,DISTRICT 21,R,9429,39.13458479160038
AK,2022,DISTRICT 22,D,9520,47.825630252100844
AK,2022,DISTRICT 22,R,9520,49.20168067226891
AK,2023,DISTRICT 23,D,7739,49.23116681741827
AK,2023,DISTRICT 23,R,7739,47.22832407287763
AK,2024,DISTRICT 24,D,10428,45.41618718833909
AK,2024,DISTRICT 24,R,10428,51.57268891446107
AK,2025,DISTRICT 25,D,9325,49.32975871313673
AK,2025,DISTRICT 25,R,9325,47.26005361930295
AK,2026,DISTRICT 26,D,10111,45.079616259519334
AK,2026,DISTRICT 26,R,10111,51.85441598259322
AK,2027,DISTRICT 27,D,9506,50.95729013254786
AK,2027,DISTRICT 27,R,9506,45.487060803702924
AK,2028,DISTRICT 28,D,12749,49.13326535414542
AK,2028,DISTRICT 28,R,12749,48.333202604125816
AK,2029,DISTRICT 29,D,10747,27.775193077137807
AK,2029,DISTRICT 29,R,10747,69.45194007630036
AK,2030,DISTRICT 30,D,10176,25.92374213836478
AK,2030,DISTRICT 30,R,10176,70.55817610062893
AK,2031,DISTRICT 31,D,12410,40.588235294117645
AK,2031,DISTRICT 31,R,12410,56.17244157937147
AK,2032,DISTRICT 32,D,8335,42.063587282543494
AK,2032,DISTRICT 32,R,8335,53.26934613077385
AK,2033,DISTRICT 33,D,10955,68.7813783660429
AK,2033,DISTRICT 33,R,10955,27.923322683706072
AK,2034,DISTRICT 34,D,10729,53.714232454096376
AK,2034,DISTRICT 34,R,10729,42.343182030012116
